gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
CACNG3	1.06411047036199	2.65922067829785	0.476237939924978	0.000184490040370022	0.000347804288612638
HAO1	2.25989841022527	3.21880627162749	0.616338643305745	0.000185536065462573	0.000349747037720178
KRT77	2.70137395930991	1.83432919254258	0.350826762362444	0.000187281395528678	0.000352948583533948
DCX	3.30142916768518	1.48507243630107	0.281906565441118	0.000188273246801026	0.000354699247168749
LOC100506409	1.43945452287032	1.47653708018992	0.39825189079642	0.000188881980775488	0.000355727204649075
LOC400084	4.01640864086141	1.78109673994239	0.471409223702709	0.000190645706634892	0.0003588990174742
AMY2A	42.0081979978553	1.01083138060281	0.241823793860499	0.000192814236820655	0.00036276938549496
RPE65	3.08057899609979	2.9241575730126	0.38296627718392	0.000193018305930586	0.000363092744164217
HIST1H4F	2.88079620178761	7.12946378026663	1.09754874828987	0.000201338305403673	0.000378112935139759
MIR23B	3.01582117563339	-1.05309886897054	0.295532431357534	0.000204009303350718	0.000383001481839996
SNORA78	2.41422994791181	2.21434040095838	0.473680934207775	0.000212023316337683	0.000397616449624207
MIR3609	2.61759154426631	5.37589093119168	0.583665987552404	0.000212689030998114	0.00039876540888248
LOC284998	0.907037064092083	-1.04480148081134	0.296271558366019	0.000215693993975322	0.000404029841194242
SNORD8	1.39513756850045	3.23948655243162	0.674143844466436	0.000215680863309836	0.000404029841194242
UPK2	26.3734246785125	1.68938126121906	0.266388066249994	0.000217070505429546	0.000406506972923242
LOC574538	2.49995241807579	-1.01341253102722	0.286683717979362	0.000222624112161108	0.000416492148112257
LMO1	8.75015985681436	1.07033286281106	0.313337386115345	0.000227490401788918	0.00042527862478172
FAM123C	4.08204819352494	2.24955272791055	0.372040226010033	0.000227907710938754	0.000426023440764245
MYO3A	41.8591046773196	1.05166032970531	0.308270730986208	0.00022922347972388	0.000428340958837689
GSX2	0.98012616633308	1.73032744972715	0.487387632546602	0.000234791759274284	0.000438274063686315
KLK14	105.380460322956	3.43307370940776	0.354204872645212	0.000236406028207825	0.000441068283454509
LINC00305	0.727970288079847	-1.19084056473322	0.344783224890448	0.000236899655529258	0.000441806494528639
CRYAA	2.21668183092781	1.4313548313912	0.365326718607132	0.000237569158481047	0.000442945191641678
APOB	43.6139875734887	3.15691250279209	0.306433361225113	0.000238853766659765	0.000445193097937379
SRY	0.753202027462765	-1.8008772104369	0.524992129225874	0.000243052095792705	0.000452718907427215
CCL14-CCL15	3.10214483555427	-1.30656124816607	0.37763650299587	0.000251833308927872	0.000468378799969687
CYP26C1	4.20033725480767	1.02109194508262	0.298903748695063	0.000253500758302135	0.00047128570490284
BARHL1	1.5124218494037	1.16498557839029	0.338963944705502	0.000253693202605375	0.00047156572798828
SNORA50	2.49001905740402	2.1306765053805	0.418033657352489	0.000255565837528802	0.000474890013357944
CRHR2	38.4300602462962	1.39403637133055	0.256230626651597	0.000256628021640389	0.000476745902958434
C7orf65	2.52553522344825	1.66746958796352	0.290384776828509	0.000258321331257686	0.000479654536121208
NCRUPAR	1.05145358365004	1.47841291032748	0.477528575896408	0.00025944191475658	0.000481695588644462
IL21	4.08086369606124	1.03633996008331	0.303838816494667	0.000264916097405769	0.000491360844187138
LOC340073	0.897027797929523	1.84656520544388	0.509250277166883	0.000274001111684486	0.000507515323991528
TGIF2LX	2.1547385055935	8.2646284082568	2.83894771407224	0.000277889255128944	0.000514463557377295
C10orf27	0.803756280189122	1.71430422642873	0.495549102358387	0.000279230154585782	0.000516733892668962
OR1Q1	1.11795632882131	1.92583902222353	0.576781391769333	0.000285412357051281	0.000527698127725133
PRSS38	0.998936272747997	3.03806220698056	0.598956398155754	0.000292003832709885	0.000539221948201819
LOC100129027	1.27408865034914	2.12236382858296	0.441680873467681	0.000293684333274273	0.000542192009796818
FST	387.647275037261	1.09231660396736	0.270238659505226	0.000300097316924841	0.000553578289895467
ACOT12	1.14264972735077	2.80491292068964	0.540073288995665	0.000302420254641651	0.000557544078026804
AKR1CL1	4.09731017750685	1.59089957342222	0.35975253874278	0.000304954647364927	0.000562078647546096
MIR939	0.875400867144398	1.412141133853	0.420921978536579	0.00030533187342581	0.000562727940309369
C3orf24	0.688269461108517	2.47819426675349	0.684994020663764	0.000306341190661033	0.000564541978474867
C2orf51	0.974499864868831	3.91398886701276	0.740934267298321	0.000309478809132643	0.000570137784882789
LOC284379	1.05425843068371	1.19629764644536	0.272840663896586	0.000312623521582546	0.000575648978134074
RDH8	1.15065454625861	2.2060089446842	0.658605128193741	0.000314965758462526	0.000579819821966402
TERC	3.48372708748297	5.08751515838959	0.320966979504119	0.00031946688984134	0.000587722127003758
C10orf113	1.89472423761792	1.44985572224112	0.4635799863481	0.000319746172426697	0.000588139962022385
PSG8	1.0926532818495	7.69632284360631	1.12411009164649	0.000322548514121375	0.000593004365070204
SCARNA18	1.35029344877354	2.04564098653794	0.576581174654409	0.000331441755366343	0.000608362609902849
TAS2R30	2.58430439414035	1.41002513498718	0.441619745456004	0.000332619491627041	0.00061047466067237
CYP2W1	16.1805507858995	1.70016273238661	0.318270013216253	0.000335053698579062	0.000614692153974653
IFNA21	0.357759547959412	-1.34615334852318	0.356273531227886	0.000336402350927353	0.000616965632381484
KLRC2	31.5896498896948	1.14205529583284	0.253823478803075	0.000346476457198469	0.000634409758548448
ASB10	0.792035468971426	1.71515421889567	0.492165196385133	0.000349065051985313	0.000638890186455709
SAA3P	0.934062121930271	2.2299809278279	0.625440398708278	0.000350506281725625	0.000641475990845201
MIR4256	0.589894276258523	-1.01690137367077	0.297262786730231	0.000350959346050654	0.000642148820510207
FLJ30679	1.80784030122234	1.0324576606525	0.307464917974561	0.000352536239795871	0.00064487708822491
LOC100507410	3.6589188106461	-1.06557675237033	0.312304802960095	0.000352920149731347	0.000645526992991452
MDGA2	6.38643786799285	2.47497750228023	0.473106848442174	0.000357635504710358	0.000653939695672042
C8A	23.1715525445994	2.31287962475631	0.383482056925884	0.000365248391117345	0.00066694060470342
TCL1B	1.73579874089235	1.83169872640747	0.524559315455811	0.000368018100566558	0.000671834872976318
AKAP4	0.42857764948151	-1.42266511892328	0.397025301836332	0.000375026562581003	0.000684159947345643
NDST4	3.1906812675895	2.84207142457924	0.573986437078931	0.000384370503388321	0.000700439533083639
SNORD10	50.0511400758332	2.53052167172246	0.197681206294661	0.00039327292721933	0.000715737049610452
NNAT	43.5713838112689	1.98178873481542	0.158745605215646	0.000411470162769349	0.000747648347483006
PNLIPRP1	1.37632128210464	1.8521699457091	0.487698995711578	0.000414416296194002	0.000752819550142656
LILRP2	21.3867700068392	1.13484621713458	0.217301159674852	0.000415915662685712	0.000755482409120056
KRT31	1.4671105842886	4.87778902547012	0.485040561902741	0.000417323206605384	0.000757978063157056
OR6B3	0.917567725024255	2.41242375241008	0.686036230517179	0.000428788318884155	0.000777674551966912
EPHA7	91.5584801613826	1.16066115906436	0.315044481477418	0.000430797182175954	0.00078119228491878
CYP1A1	119.054233503214	-1.51596973910079	0.472579842325483	0.000435099425414106	0.000788549959215102
SNORD37	1.10327546057179	1.21154323048619	0.390282678061769	0.000438245985794276	0.000793869806863742
PSG5	1.42863940966718	7.86927769171974	0.668569080634851	0.000441072065514151	0.000798860826392227
CDC20B	66.3671557096563	1.63482500112954	0.357998994931158	0.000449601733774705	0.00081372140436223
MIR23C	1.01274107920885	1.9264743469115	0.576268627952692	0.000450779248174984	0.000815787081742562
ZDHHC22	7.08043315984182	2.03970434818419	0.341579992216244	0.000452817922606919	0.000819213555772854
BLID	2.21861796123162	2.24103968231131	0.595733775409632	0.000458305820552628	0.000828610162694003
OR7A5	1.76866157268813	2.15097890224061	0.509407313865973	0.000467489323984602	0.000844469060010954
NPPB	2.53035930652993	2.30397472338447	0.443013130142651	0.000479501200923317	0.000865404688437113
SLC7A3	5.58805338941312	2.78335846207239	0.35977796804239	0.00048551759329117	0.000875562354762828
KRT24	6.76562228006863	1.88130600030823	0.373822426226538	0.000486767559379582	0.00087770641283068
SLC17A2	1.77591394082343	2.31020821101968	0.551640383738498	0.000499622456723406	0.000899703427419111
LIPF	1.97235953551176	4.81673354137713	0.517075911757963	0.000502259115773178	0.000904018303120834
SCARNA9L	2.19191681154696	1.66729791372056	0.390610194921385	0.000524816231526406	0.000942306146101133
MIR941-1	1.09889374645904	1.12375847771821	0.363437382784792	0.000541679164562942	0.000971095225380308
